	id	Uniprot.accession	Protein.short.name	Gene.Names	Protein.Names	Log2.ratio.D3.D0.Repl1	Log2.ratio.D3.D0.Repl2	Log2.ratio.D6.D3.Repl1	Log2.ratio.D6.D3.Repl2	Log2.ratio.D9.D6.Repl.1	Log2.ratio.D9.D6.Repl.2	Log2.ratio.D12.D9.Repl1	Log2.ratio.D12.D9.Repl2	Log2.ratio.iPS.D12.Repl.1	Log2.ratio.iPS.D12.Repl.2	GOCC	GOBP	GOMF	KEGG	Protein.Descriptions
1	1624	O55028	BCKD	Bckdk	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	NA	-3.277	NA	NA	NA	NA	-1.707	NA	-0.719	NA	mitochondrion;mitochondrial matrix;mitochondrial alpha-ketoglutarate dehydrogenase complex;mitochondrial tricarboxylic acid cycle enzyme complex;membrane-enclosed lumen;macromolecular complex;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;organelle lumen;protein complex;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part;tricarboxylic acid cycle enzyme complex;dihydrolipoyl dehydrogenase complex;intracellular organelle lumen	two-component signal transduction system (phosphorelay);organic acid metabolic process;protein modification process;protein phosphorylation;cellular amino acid metabolic process;phosphorus metabolic process;phosphate metabolic process;nitrogen compound metabolic process;signal transduction;metabolic process;catabolic process;cellular amino acid catabolic process;branched chain family amino acid metabolic process;branched chain family amino acid catabolic process;amine metabolic process;amine catabolic process;cellular process;organic acid catabolic process;phosphorylation;peptidyl-histidine phosphorylation;peptidyl-amino acid modification;peptidyl-histidine modification;protein metabolic process;carboxylic acid metabolic process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;macromolecule metabolic process;macromolecule modification;oxoacid metabolic process;cellular amine metabolic process;cellular metabolic process;primary metabolic process;cellular catabolic process;cellular macromolecule metabolic process;cellular protein metabolic process;small molecule metabolic process;small molecule catabolic process;carboxylic acid catabolic process;regulation of biological process;regulation of cellular process;response to stimulus;cellular response to stimulus;biological regulation	two-component sensor activity;nucleotide binding;catalytic activity;protein kinase activity;protein histidine kinase activity;protein serine-threonine kinase activity;signal transducer activity;binding;ATP binding;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, alcohol group as acceptor;phosphotransferase activity, nitrogenous group as acceptor;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity;molecular transducer activity		>sp|O55028|BCKD_MOUSE [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Mus musculus GN=Bckdk PE=1 SV=1;>tr|Q3UCB5|Q3UCB5_MOUSE Branched chain ketoacid dehydrogenase kinase, isoform CRA_a OS=Mus musculus GN=Bckdk PE=2 SV=1;>tr|D3
2	3432	P54923	ADPRH	Adprh	[Protein ADP-ribosylarginine] hydrolase	-0.561	-0.548	0.041	0.02	-0.022	-0.203	-0.2	-0.341	0.141	0.789		protein modification process;metabolic process;cellular process;protein metabolic process;macromolecule metabolic process;macromolecule modification;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process;cellular protein metabolic process;protein de-ADP-ribosylation	magnesium ion binding;catalytic activity;ADP-ribosylarginine hydrolase activity;binding;hydrolase activity;hydrolase activity, acting on glycosyl bonds;hydrolase activity, hydrolyzing N-glycosyl compounds;ion binding;cation binding;metal ion binding		>sp|P54923|ADPRH_MOUSE [Protein ADP-ribosylarginine] hydrolase OS=Mus musculus GN=Adprh PE=2 SV=1;>tr|Q3U5N4|Q3U5N4_MOUSE ADP-ribosylarginine hydrolase, isoform CRA_a OS=Mus musculus GN=Adprh PE=2 SV=1
3	6658	Q99JT9	MTND	Adi1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	0.258	1.667	0.855	0.053	0.195	0.452	0.272	-0.157	-0.257	-0.806	nucleus;cytoplasm;plasma membrane;membrane;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cell part	sulfur amino acid metabolic process;sulfur amino acid biosynthetic process;organic acid metabolic process;cellular amino acid metabolic process;methionine metabolic process;sulfur compound metabolic process;nitrogen compound metabolic process;metabolic process;cellular amino acid biosynthetic process;biosynthetic process;aspartate family amino acid metabolic process;aspartate family amino acid biosynthetic process;methionine biosynthetic process;amine metabolic process;amine biosynthetic process;cellular process;organic acid biosynthetic process;L-methionine salvage from methylthioadenosine;carboxylic acid metabolic process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;cellular metabolic compound salvage;amino acid salvage;oxoacid metabolic process;cellular amine metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular nitrogen compound biosynthetic process;sulfur compound biosynthetic process;small molecule metabolic process;small molecule biosynthetic process;carboxylic acid biosynthetic process;oxidation-reduction process;L-methionine biosynthetic process;L-methionine salvage	catalytic activity;binding;acireductone dioxygenase (Ni2+-requiring) activity;oxidoreductase activity;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;ion binding;cation binding;metal ion binding;dioxygenase activity	Cysteine and methionine metabolism	>sp|Q99JT9|MTND_MOUSE 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Mus musculus GN=Adi1 PE=1 SV=1
4	7202	Q9D6Y9	GLGB	Gbe1	1,4-alpha-glucan-branching enzyme	NA	NA	NA	0.099	NA	0	NA	NA	NA	-0.814		polysaccharide biosynthetic process;carbohydrate metabolic process;polysaccharide metabolic process;glycogen metabolic process;glycogen biosynthetic process;cellular glucan metabolic process;generation of precursor metabolites and energy;energy reserve metabolic process;metabolic process;biosynthetic process;macromolecule biosynthetic process;glucan biosynthetic process;cellular process;energy derivation by oxidation of organic compounds;carbohydrate biosynthetic process;cellular polysaccharide biosynthetic process;cellular carbohydrate biosynthetic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;glucan metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular carbohydrate metabolic process;cellular polysaccharide metabolic process;oxidation-reduction process	catalytic activity;1,4-alpha-glucan branching enzyme activity;hydrolase activity, hydrolyzing O-glycosyl compounds;binding;transferase activity;transferase activity, transferring glycosyl groups;transferase activity, transferring hexosyl groups;hydrolase activity;hydrolase activity, acting on glycosyl bonds;ion binding;cation binding	Starch and sucrose metabolism	>sp|Q9D6Y9|GLGB_MOUSE 1,4-alpha-glucan-branching enzyme OS=Mus musculus GN=Gbe1 PE=2 SV=1
5	7361	Q9DCT1	AKCL2	Akr1e2	1,5-anhydro-D-fructose reductase	0.025	0.336	0.41	-0.132	0.248	0.217	0.139	0.022	-0.608	-0.975	cytoplasm;intracellular part;cell part	metabolic process;oxidation-reduction process	catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;1,5-anhydro-D-fructose reductase activity		>sp|Q9DCT1|AKCL2_MOUSE 1,5-anhydro-D-fructose reductase OS=Mus musculus GN=Akr1e2 PE=1 SV=1;>tr|Q8CEB6|Q8CEB6_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Akr1e1 PE=2 SV=1
6	4499	Q4FK22	Q4FK22	Ergic1	1200007D18Rik protein	-0.528	-0.424	0.221	0.099	-0.028	0.245	0.422	0.617	-0.311	-0.379	ER-Golgi intermediate compartment;intracellular part;cytoplasmic part;cell part;Golgi membrane;endoplasmic reticulum;endoplasmic reticulum membrane;Golgi apparatus;membrane;integral to membrane;organelle membrane;intrinsic to membrane;ER-Golgi intermediate compartment membrane;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;organelle part;membrane part;Golgi apparatus part;endoplasmic reticulum part;intracellular organelle part	transport;ER to Golgi vesicle-mediated transport;cellular process;vesicle-mediated transport;intracellular transport;Golgi vesicle transport;establishment of localization;establishment of localization in cell			>tr|Q4FK22|Q4FK22_MOUSE 1200007D18Rik protein OS=Mus musculus GN=Ergic1 PE=2 SV=1;>sp|Q9DC16|ERGI1_MOUSE Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Mus musculus GN=Ergic1 PE=1 SV=1
7	3558	P62259	1433E	Ywhae	14-3-3 protein epsilon	0.347	0.403	0.064	-0.034	0.054	0.077	-0.065	-0.082	-0.421	0.01	cytoplasm;mitochondrion;kinesin complex;microtubule associated complex;cytoplasmic membrane-bounded vesicle;cytoplasmic vesicle;vesicle;membrane-bounded vesicle;macromolecular complex;axon part;melanosome;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;protein complex;organelle part;intracellular part;cytoskeletal part;cytoplasmic part;intracellular organelle part;cell projection part;cell part;pigment granule	neuron migration;protein targeting;transport;intracellular protein transport;cellular component movement;negative regulation of metabolic process;cellular process;negative regulation of phosphorus metabolic process;negative regulation of macromolecule metabolic process;protein transport;cell migration;regulation of phosphate metabolic process;regulation of metabolic process;hippocampus development;cerebral cortex development;regulation of cellular metabolic process;negative regulation of cellular metabolic process;regulation of protein modification process;negative regulation of protein modification process;regulation of cellular protein metabolic process;negative regulation of cellular protein metabolic process;developmental process;regulation of dephosphorylation;regulation of protein dephosphorylation;negative regulation of dephosphorylation;negative regulation of protein dephosphorylation;locomotion;establishment of protein localization;negative regulation of phosphate metabolic process;intracellular transport;negative regulation of biological process;negative regulation of cellular process;anatomical structure development;cell motility;regulation of biological process;regulation of cellular process;regulation of phosphorus metabolic process;establishment of localization;regulation of protein metabolic process;negative regulation of protein metabolic process;establishment of localization in cell;regulation of macromolecule metabolic process;biological regulation;regulation of primary metabolic process	binding;protein binding;amino acid binding;enzyme binding;protein domain specific binding;carboxylic acid binding;protein complex binding;histone deacetylase binding;amine binding;protein phosphorylated amino acid binding;phosphoserine binding;phosphoprotein binding;catalytic activity;monooxygenase activity;oxidoreductase activity	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway	>sp|P62259|1433E_MOUSE 14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1;>tr|Q5SS40|Q5SS40_MOUSE Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide OS=Mus musculus GN=Ywhae PE=2 SV=1
8	3644	P68510	1433F	Ywhah	14-3-3 protein eta	-0.494	-0.655	-0.051	0.032	0.041	0.05	-0.009	0.095	0.056	0.173	cytoplasm;intracellular part;cell part	regulation of transcription, DNA-dependent;lipid metabolic process;steroid catabolic process;glucocorticoid catabolic process;transport;intracellular protein transport;organelle organization;cytoskeleton organization;regulation of mitosis;signal transduction;regulation of mitotic cell cycle;metabolic process;steroid metabolic process;C21-steroid hormone metabolic process;C21-steroid hormone catabolic process;glucocorticoid metabolic process;catabolic process;regulation of biosynthetic process;positive regulation of biosynthetic process;positive regulation of metabolic process;cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;positive regulation of macromolecule biosynthetic process;regulation of cell cycle process;positive regulation of macromolecule metabolic process;positive regulation of gene expression;negative regulation of cell development;regulation of cell morphogenesis involved in differentiation;regulation of hormone levels;regulation of cell death;regulation of neuron projection development;protein transport;lipid catabolic process;cellular component organization;regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;regulation of metabolic process;regulation of anatomical structure morphogenesis;regulation of cell morphogenesis;steroid hormone receptor signaling pathway;intracellular receptor mediated signaling pathway;regulation of cellular metabolic process;positive regulation of cellular metabolic process;regulation of cellular biosynthetic process;positive regulation of cellular biosynthetic process;regulation of cell projection organization;negative regulation of cell projection organization;corticosteroid receptor signaling pathway;regulation of organelle organization;cellular hormone metabolic process;hormone metabolic process;hormone catabolic process;glucocorticoid receptor signaling pathway;regulation of apoptosis;negative regulation of apoptosis;regulation of programmed cell death;negative regulation of programmed cell death;cellular metabolic process;primary metabolic process;establishment of protein localization;regulation of cell differentiation;negative regulation of cell differentiation;regulation of neuron differentiation;positive regulation of transcription, DNA-dependent;positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;intracellular transport;positive regulation of biological process;negative regulation of biological process;positive regulation of cellular process;negative regulation of cellular process;regulation of dendrite morphogenesis;regulation of neurogenesis;negative regulation of neurogenesis;regulation of dendrite development;negative regulation of dendrite morphogenesis;regulation of biological process;regulation of developmental process;regulation of cellular process;response to stimulus;negative regulation of developmental process;regulation of cellular component organization;negative regulation of cellular component organization;regulation of nitrogen compound metabolic process;positive regulation of nitrogen compound metabolic process;establishment of localization;regulation of multicellular organismal process;regulation of RNA metabolic process;positive regulation of RNA metabolic process;establishment of localization in cell;cellular response to stimulus;regulation of cell cycle;regulation of nuclear division;regulation of nervous system development;regulation of macromolecule metabolic process;regulation of cell development;negative regulation of cell death;biological regulation;regulation of biological quality;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular component organization at cellular level;regulation of primary metabolic process;regulation of multicellular organismal development;regulation of cellular macromolecule biosynthetic process	actin binding;receptor binding;binding;protein binding;cytoskeletal protein binding;transcription activator activity;enzyme binding;protein domain specific binding;transcription regulator activity;nuclear hormone receptor binding;steroid hormone receptor binding;glucocorticoid receptor binding;hormone receptor binding	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway	>sp|P68510|1433F_MOUSE 14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2
9	712	A8IP69	A8IP69	Ywhag	14-3-3 protein gamma subtype	-0.58	-0.376	-0.129	0.027	-0.053	-0.229	0.17	0.158	0.243	0.413	cytoplasm;intracellular part;cell part	protein targeting;transport;intracellular protein transport;regulation of cell communication;protein transport;regulation of signaling;regulation of neurological system process;regulation of system process;establishment of protein localization;regulation of cell differentiation;regulation of neuron differentiation;intracellular transport;regulation of synaptic plasticity;regulation of neurogenesis;regulation of biological process;regulation of developmental process;regulation of cellular process;regulation of synaptic transmission;establishment of localization;regulation of multicellular organismal process;establishment of localization in cell;regulation of nervous system development;regulation of transmission of nerve impulse;regulation of cell development;biological regulation;regulation of biological quality;regulation of multicellular organismal development	catalytic activity;monooxygenase activity;protein kinase C binding;receptor binding;insulin-like growth factor receptor binding;binding;protein binding;oxidoreductase activity;enzyme binding;kinase binding;protein kinase binding;protein domain specific binding;receptor tyrosine kinase binding;actin binding;cytoskeletal protein binding	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway	>tr|A8IP69|A8IP69_MOUSE 14-3-3 protein gamma subtype OS=Mus musculus GN=Ywhag PE=2 SV=1;>sp|P61982|1433G_MOUSE 14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2
10	2855	O70456	1433S	Sfn	14-3-3 protein sigma	-0.354	-0.833	-0.851	-0.183	0.173	0.112	0.672	2.455	1.06	0.538	extracellular region;nucleus;cytoplasm;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cell part	regulation of cyclin-dependent protein kinase activity;regulation of cell growth;release of cytochrome c from mitochondria;regulation of protein phosphorylation;apoptosis;induction of apoptosis;response to stress;response to DNA damage stimulus;organelle organization;mitochondrion organization;signal transduction;cell death;cell proliferation;negative regulation of cell proliferation;epidermis development;induction of apoptosis by intracellular signals;DNA damage response, signal transduction resulting in induction of apoptosis;apoptotic mitochondrial changes;tissue development;epidermal cell differentiation;cellular process;negative regulation of peptidase activity;regulation of cell death;positive regulation of cell death;programmed cell death;induction of programmed cell death;cellular component organization;death;regulation of phosphate metabolic process;regulation of metabolic process;cell differentiation;keratinocyte differentiation;positive regulation of cell growth;epithelial cell differentiation;regulation of cellular metabolic process;regulation of protein modification process;regulation of cellular protein metabolic process;developmental process;cellular response to stress;intracellular signal transduction;regulation of growth;regulation of cell proliferation;regulation of phosphorylation;signal transduction in response to DNA damage;regulation of apoptosis;positive regulation of apoptosis;regulation of programmed cell death;positive regulation of programmed cell death;negative regulation of catalytic activity;negative regulation of caspase activity;regulation of caspase activity;regulation of kinase activity;skin development;keratinocyte proliferation;negative regulation of molecular function;regulation of protein kinase activity;positive regulation of growth;positive regulation of biological process;negative regulation of biological process;positive regulation of cellular process;negative regulation of cellular process;anatomical structure development;cellular developmental process;regulation of biological process;regulation of catalytic activity;regulation of cellular process;response to stimulus;regulation of cellular component organization;regulation of phosphorus metabolic process;regulation of protein metabolic process;regulation of hydrolase activity;regulation of transferase activity;negative regulation of hydrolase activity;cellular response to stimulus;regulation of cell cycle;regulation of peptidase activity;regulation of endopeptidase activity;regulation of macromolecule metabolic process;biological regulation;regulation of molecular function;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular component organization at cellular level;regulation of protein serine-threonine kinase activity;regulation of primary metabolic process	binding;protein binding;protein domain specific binding		>sp|O70456|1433S_MOUSE 14-3-3 protein sigma OS=Mus musculus GN=Sfn PE=1 SV=2
